model_output,target,scores,scores_inserts
iyakukholwa,Ngiyakukholwa.,['1111111111'],['[]']
ngiyakhukholwa,Ngiyakukholwa.,"['1111011111', '1111011111']","['[]', '[]']"
ngiyakukhowa,Ngiyakukholwa.,"['1111011111', '1111011111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,['1111111111'],['[]']
ingiyakho kushlwa,Ngiyakukholwa.,"['1111011001', '1111000011', '1111010101']","['[]', '[]', '[""0""]']"
ingiyakhakhulwa,Ngiyakukholwa.,"['1111000011', '1111001011']","['[""4"", ""5"", ""6"", ""7""]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,['1111011111'],['[]']
ngiyakhukholwa,Ngiyakukholwa.,['1111011111'],['[]']
ingiyakhokhulwa,Ngiyakukholwa.,['1111011011'],"['[""0""]']"
abantu bafike nini,Abantu bafike nini?,"['111101111110111111', '101101111111111111']","['[]', '[]']"
abantu bafike nini,Abantu bafike nini?,"['111111111111111111', '101101101110111111']","['[]', '[]']"
abantu bafika nini,Abantu bafike nini?,['111111111111011111'],['[]']
abantu bafike nini,Abantu bafike nini?,"['111111111111111111', '111111111111111111', '111111111111111111']","['[]', '[]', '[]']"
abantu bafike nini,Abantu bafike nini?,"['111111111111111111', '111111111111111111']","['[]', '[]']"
abantu bafike nini,Abantu bafike nini?,['111111111111111111'],['[]']
abantu bafika nini,Abantu bafike nini?,"['111111111111111111', '111111111111011111']","['[]', '[]']"
abantu bafike nini,Abantu bafike nini?,"['111111111111111111', '101111101111111111']","['[]', '[]']"
abantu bafike mini,Abantu bafike nini?,['101101101110111111'],['[]']
abantu bafike nini,Abantu bafike nini?,['111111111111111111'],['[]']
abantu bafike nini,Abantu bafike nini?,['101101101110111111'],['[]']
abantu bafikenini,Abantu bafike nini?,['101101101111111111'],['[]']
abafo bayabafuna odade namuhla,Abafo bayabafuna odade namuhla.,['11111111111111111111111111111'],['[]']
abafo bayabafuna odade namuhla,Abafo bayabafuna odade namuhla.,['11111101110111111111111111111'],['[]']
abafobayafuna odade namuhla,Abafo bayabafuna odade namuhla.,"['11111111110011111111111111111', '10111101111111111111111111111']","['[]', '[]']"
abafo bayafuna odade namuhla,Abafo bayabafuna odade namuhla.,"['11111111110011111111111111111', '11111111111111111111111111111']","['[]', '[]']"
abafo bayabafuna odade namuhla,Abafo bayabafuna odade namuhla.,['11111111111111111111111111111'],['[]']
abafo bayabafuna udade namuhla,Abafo bayabafuna odade namuhla.,"['11111111111111111111111111111', '11111111111111111111111111111', '11111111111111111111111111111']","['[]', '[]', '[]']"
abafo bayafuna odade namuhla,Abafo bayabafuna odade namuhla.,['11111111110011111111111111111'],['[]']
abafvobaya bafunda odadenaushla,Abafo bayabafuna odade namuhla.,"['11111111111111111111111111111', '11111101110111001111111111001']","['[]', '[]']"
abafo s] bafuna udade namuhle,Abafo bayabafuna odade namuhla.,['10111101110011111011111111110'],['[]']
abafo bayabafunaodade namuhla,Abafo bayabafuna odade namuhla.,['10111101110111111111111111111'],['[]']
abova bavuna odade namula,Abafo bayabafuna odade namuhla.,['11010101110111111111111111111'],['[]']
abafo bayabafuna adonamhlula,Abafo bayabafuna odade namuhla.,['11111101110111111000001110000'],['[]']
niyangihleka futhi,Niyangihleka futhi?,"['111111111111111', '111111111111111']","['[]', '[]']"
niyangihleka futhi,Niyangihleka futhi?,"['111111110111111', '111111111111111']","['[]', '[]']"
ingiyahle ka futhi,Niyangihleka futhi?,['011100110111111'],"['[""1""]']"
niyangihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niyangihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niyangihleka futhi,Niyangihleka futhi?,"['111111111111111', '111111111111111']","['[]', '[]']"
niyangihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niyaingishilegavuthi,Niyangihleka futhi?,['111111111111111'],['[]']
niyangihleka futhi,Niyangihleka futhi?,['111111111111111'],"['[""4""]']"
niyangihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niyangehleka futhi,Niyangihleka futhi?,['111110110111111'],['[]']
ngiyangihleka futhi,Niyangihleka futhi?,['011101111111111'],"['[""0""]']"
izikokhozimbikhodwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1110010111111110111111111111111111'],['[]']
izigxoko zimbi odwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111111111111111111111111111111'],['[]']
isigqoka []simbiodwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111011111111111111111111111111'],['[]']
izigcoko zimbi kodwa izingubozinhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1111011111111111111111111111111111', '1110001111111111111111111111111111']","['[]', '[]']"
izigqoko zimbi kodwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1111111111111111111111111111111111', '1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[]', '[]']"
izigqoko zimbi kodwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1111111111111111111111111111111111', '1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[]', '[]']"
izigqoko zimbi kodwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111111111111111111111111111111'],['[]']
izingqogozimbikwadwa zingubozinhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1110010111111110111111111111111001', '1111011111111110011111111111111111']","['[]', '[""4"", ""16""]']"
izigqoko ]zimbikhodwa izingubo zindle,Izigqoko zimbi kodwa izingubo zinhle.,['1110011111111110111111111111111111'],['[]']
