model_output,target,scores,scores_inserts
iyakhukholwa,Ngiyakukholwa.,['1111111111'],['[]']
ngiyakhukholwa,Ngiyakukholwa.,"['1111011111', '1111011111']","['[]', '[]']"
ngiyakhukhowa,Ngiyakukholwa.,"['1111011111', '1111011111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,['1111111111'],['[]']
ingiyakhokhushlwa,Ngiyakukholwa.,"['1111011001', '1111000011', '1111010101']","['[]', '[]', '[""0""]']"
ingi yakhakhulwa,Ngiyakukholwa.,"['1111000011', '1111001011']","['[""4"", ""5"", ""6"", ""7""]', '[]']"
ngiyakhukholwa,Ngiyakukholwa.,['1111011111'],['[]']
ngiyakhukholwa,Ngiyakukholwa.,['1111011111'],['[]']
ngiyakhukhulowa,Ngiyakukholwa.,['1111011011'],"['[""0""]']"
abanthu bafikhe nini,Abantu bafike nini?,"['111101111110111111', '101101111111111111']","['[]', '[]']"
abanthu bafike nini,Abantu bafike nini?,"['111111111111111111', '101101101110111111']","['[]', '[]']"
abantu bafika nini,Abantu bafike nini?,['111111111111011111'],['[]']
abantu bafike nini,Abantu bafike nini?,"['111111111111111111', '111111111111111111', '111111111111111111']","['[]', '[]', '[]']"
abantu bahike nini,Abantu bafike nini?,"['111111111111111111', '111111111111111111']","['[]', '[]']"
abantu bafike nini,Abantu bafike nini?,['111111111111111111'],['[]']
abantu bafika nini,Abantu bafike nini?,"['111111111111111111', '111111111111011111']","['[]', '[]']"
habanthu bafike nini,Abantu bafike nini?,"['111111111111111111', '101111101111111111']","['[]', '[]']"
abanthu bafn,Abantu bafike nini?,['101101101110111111'],['[]']
abantu bafike nini,Abantu bafike nini?,['111111111111111111'],['[]']
abanthu bafikhe nini,Abantu bafike nini?,['101101101110111111'],['[]']
abanthue,Abantu bafike nini?,['101101101111111111'],['[]']
abafo bayabafuna odade namushla,Abafo bayabafuna odade namuhla.,['11111111111111111111111111111'],['[]']
abafo bayabafuna odade namuhla,Abafo bayabafuna odade namuhla.,['11111101110111111111111111111'],['[]']
abafo bayafuna odade namuhla,Abafo bayabafuna odade namuhla.,"['11111111110011111111111111111', '10111101111111111111111111111']","['[]', '[]']"
